https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1647993600000,2022-03-23 00:00:00,REP/USD,14.301,14.684,14.077,14.414,3319.7025514833,230.31098595
1647907200000,2022-03-22 00:00:00,REP/USD,13.976,14.411,13.894,14.358,1798.8678817225803,125.28680051
1647820800000,2022-03-21 00:00:00,REP/USD,13.903,14.05,13.637,13.971,1494.26927710218,106.95506958
1647734400000,2022-03-20 00:00:00,REP/USD,14.092,14.185,13.689,13.893,1879.7099322738002,135.2990666
1647648000000,2022-03-19 00:00:00,REP/USD,13.805,14.144,13.744,14.122,2812.1764439025196,199.13443166
1647561600000,2022-03-18 00:00:00,REP/USD,13.572,13.829,13.303,13.787,1306.6143022492301,94.77147329
1647475200000,2022-03-17 00:00:00,REP/USD,13.496,13.591,13.301,13.555,2085.0683698315,153.8228233
1647388800000,2022-03-16 00:00:00,REP/USD,13.11,13.506,12.933,13.504,1377.21944324288,101.98603697
1647302400000,2022-03-15 00:00:00,REP/USD,13.312,13.344,12.802,13.107,1050.09448249557,80.11707351
1647216000000,2022-03-14 00:00:00,REP/USD,13.082,13.299,12.81,13.299,3696.03358138014,277.91815786
1647129600000,2022-03-13 00:00:00,REP/USD,13.635,13.787,13.037,13.08,1617.3668432364002,123.65189933
1647043200000,2022-03-12 00:00:00,REP/USD,13.452,13.714,13.396,13.442,1185.9349693763,88.22608015
1646956800000,2022-03-11 00:00:00,REP/USD,13.686,13.929,13.278,13.469,1542.2884718306698,114.50653143
1646870400000,2022-03-10 00:00:00,REP/USD,14.149,14.149,13.21,13.734,1617.87305763342,117.80057213
1646784000000,2022-03-09 00:00:00,REP/USD,13.594,14.169,13.541,14.169,1561.67220509871,110.21753159
1646697600000,2022-03-08 00:00:00,REP/USD,13.448,13.662,13.264,13.598,1645.2459993931,120.99176345
1646611200000,2022-03-07 00:00:00,REP/USD,13.58,13.869,13.088,13.336,1608.37029947128,120.60365173
1646524800000,2022-03-06 00:00:00,REP/USD,13.986,14.021,13.36,13.506,1124.92929014886,83.29107731
1646438400000,2022-03-05 00:00:00,REP/USD,13.857,14.023,13.504,13.993,1263.46866626169,90.29290833
1646352000000,2022-03-04 00:00:00,REP/USD,14.81,14.81,13.663,13.819,2363.0477228480204,170.99990758
1646265600000,2022-03-03 00:00:00,REP/USD,16.39,17.0,14.454,14.91,4464.6853369629,299.44234319
1646179200000,2022-03-02 00:00:00,REP/USD,15.093,15.612,14.688,15.361,2336.5004884272803,152.10601448
1646092800000,2022-03-01 00:00:00,REP/USD,14.875,15.236,14.538,15.201,5279.282733511891,347.29838389
1646006400000,2022-02-28 00:00:00,REP/USD,13.75,14.891,13.462,14.864,2639.87450589168,177.60189087
1645920000000,2022-02-27 00:00:00,REP/USD,14.469,14.738,13.54,13.739,3811.62299468742,277.43088978
1645833600000,2022-02-26 00:00:00,REP/USD,14.327,14.759,13.91,14.491,4035.15605717614,278.45946154
1645747200000,2022-02-25 00:00:00,REP/USD,13.788,14.401,13.151,14.372,2395.41983040092,166.67268511
1645660800000,2022-02-24 00:00:00,REP/USD,14.393,14.411,12.402,13.802,18907.66744326752,1369.92228976
1645574400000,2022-02-23 00:00:00,REP/USD,14.224,15.443,13.861,14.4,3314.878360272,230.19988613
1645488000000,2022-02-22 00:00:00,REP/USD,13.581,14.335,13.214,14.254,3826.7109550133596,268.46576084
1645401600000,2022-02-21 00:00:00,REP/USD,13.978,15.25,13.404,13.404,2396.77846382856,178.81068814
1645315200000,2022-02-20 00:00:00,REP/USD,14.489,15.086,13.71,13.929,2962.19542493454,212.66389726
1645228800000,2022-02-19 00:00:00,REP/USD,13.979,15.489,13.382,14.547,9473.61621431316,651.24192028
1645142400000,2022-02-18 00:00:00,REP/USD,13.873,15.084,13.705,14.003,2334.22805918599,166.69485533
1645056000000,2022-02-17 00:00:00,REP/USD,14.733,15.311,13.647,13.768,2897.7429050316,210.46941495
1644969600000,2022-02-16 00:00:00,REP/USD,14.893,14.977,14.446,14.782,1869.4579381764802,126.46853864
1644883200000,2022-02-15 00:00:00,REP/USD,14.201,15.017,14.056,14.974,2305.58758415,153.972725
1644796800000,2022-02-14 00:00:00,REP/USD,13.963,14.64,13.658,14.222,2759.42654614874,194.02521067
1644710400000,2022-02-13 00:00:00,REP/USD,14.362,14.389,13.713,14.004,1657.5392923642798,118.36184607
1644624000000,2022-02-12 00:00:00,REP/USD,14.464,14.52,14.008,14.224,1861.3216878648002,130.85782395
1644537600000,2022-02-11 00:00:00,REP/USD,14.985,15.178,14.279,14.528,2501.96980768384,172.21708478
1644451200000,2022-02-10 00:00:00,REP/USD,15.408,15.465,14.79,14.96,2104.6351968136,140.68417091
1644364800000,2022-02-09 00:00:00,REP/USD,15.212,15.528,14.818,15.429,3350.25542325993,217.14015317
1644278400000,2022-02-08 00:00:00,REP/USD,15.827,15.862,14.76,15.158,3706.8941293584203,244.55034499
1644192000000,2022-02-07 00:00:00,REP/USD,15.453,15.897,15.217,15.682,2062.57084204894,131.52473167
1644105600000,2022-02-06 00:00:00,REP/USD,15.491,15.736,14.918,15.441,1607.4249022785602,104.10108816
1644019200000,2022-02-05 00:00:00,REP/USD,15.323,15.817,15.077,15.634,3918.3291083072,250.6287008
1643932800000,2022-02-04 00:00:00,REP/USD,14.495,15.663,14.405,15.311,23348.72460139688,1524.96405208
1643846400000,2022-02-03 00:00:00,REP/USD,14.984,16.492,13.942,14.437,10898.31713564125,754.88793625
1643760000000,2022-02-02 00:00:00,REP/USD,13.138,19.751,13.076,14.811,17521.13366113347,1182.98113977
1643673600000,2022-02-01 00:00:00,REP/USD,13.052,13.191,12.92,13.15,1377.0172147,104.716138
1643587200000,2022-01-31 00:00:00,REP/USD,13.017,13.146,12.447,13.071,2739.22386442893,209.56498083
1643500800000,2022-01-30 00:00:00,REP/USD,12.992,13.179,12.77,13.045,1511.3929542173498,115.85994283
1643414400000,2022-01-29 00:00:00,REP/USD,12.856,13.092,12.799,12.972,2262.72010622544,174.43109052
1643328000000,2022-01-28 00:00:00,REP/USD,12.499,13.029,12.365,12.83,6635.4931414514,517.18574758
1643241600000,2022-01-27 00:00:00,REP/USD,12.509,12.636,11.98,12.517,2973.2248290847697,237.53493881
1643155200000,2022-01-26 00:00:00,REP/USD,12.16,14.266,11.998,12.546,11303.62533766422,900.97444107
1643068800000,2022-01-25 00:00:00,REP/USD,12.256,12.263,11.625,12.158,4352.85042983568,358.02355896
1642982400000,2022-01-24 00:00:00,REP/USD,12.953,13.195,11.217,12.275,15324.47882385625,1248.43004675
1642896000000,2022-01-23 00:00:00,REP/USD,12.455,13.059,12.222,12.965,5376.20252517955,414.67046087
1642809600000,2022-01-22 00:00:00,REP/USD,13.571,14.15,11.321,12.538,21611.11023970472,1723.64892644
1642723200000,2022-01-21 00:00:00,REP/USD,15.273,16.215,13.222,13.572,15549.884208878759,1145.73270033
1642636800000,2022-01-20 00:00:00,REP/USD,15.682,16.237,15.181,15.192,6494.05100438136,427.46517933
1642550400000,2022-01-19 00:00:00,REP/USD,16.205,16.545,15.537,15.709,8203.17772855703,522.19604867
1642464000000,2022-01-18 00:00:00,REP/USD,16.433,16.511,15.712,16.237,3542.2396528292797,218.15850544
1642377600000,2022-01-17 00:00:00,REP/USD,17.12,17.573,16.326,16.523,7701.61922378667,466.11506529
1642291200000,2022-01-16 00:00:00,REP/USD,16.882,16.994,16.629,16.872,3736.6940780740797,221.47309614
1642204800000,2022-01-15 00:00:00,REP/USD,16.842,17.743,16.756,16.907,14256.44706979009,843.22748387
1642118400000,2022-01-14 00:00:00,REP/USD,16.47,16.913,16.245,16.805,2551.9178708481,151.85467842
1642032000000,2022-01-13 00:00:00,REP/USD,17.036,17.144,16.33,16.506,1613.3970349917001,97.74609445
1641945600000,2022-01-12 00:00:00,REP/USD,16.286,17.629,16.161,17.027,6459.899399972451,379.39151935
1641859200000,2022-01-11 00:00:00,REP/USD,15.469,19.594,15.469,16.369,47957.44537711506,2929.77245874
