https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1710633600000,2024-03-17 00:00:00,BAT/USD,0.31286,0.31813,0.292,0.31501,2858.790423593015,9075.2370515
1710547200000,2024-03-16 00:00:00,BAT/USD,0.33928,0.33995,0.28557,0.3051,7666.199020999052,25126.840449029998
1710460800000,2024-03-15 00:00:00,BAT/USD,0.36111,0.36303,0.31139,0.33852,34946.410453727134,103232.9270168
1710374400000,2024-03-14 00:00:00,BAT/USD,0.37365,0.37375,0.34,0.35945,6383.013121890451,17757.72185809
1710288000000,2024-03-13 00:00:00,BAT/USD,0.36541,0.37679,0.35921,0.37427,21510.84413800364,57474.13401556
1710201600000,2024-03-12 00:00:00,BAT/USD,0.36541,0.36541,0.33945,0.36541,6630.986740328644,18146.70299206
1710115200000,2024-03-11 00:00:00,BAT/USD,0.35306,0.36541,0.33533,0.36541,42108.261726381366,115235.6578265
1710028800000,2024-03-10 00:00:00,BAT/USD,0.35022,0.35909,0.345,0.35408,41235.21178130344,116457.33105881
1709942400000,2024-03-09 00:00:00,BAT/USD,0.33854,0.35023,0.33011,0.35022,18535.097815869653,52924.15571889
1709856000000,2024-03-08 00:00:00,BAT/USD,0.34391,0.34391,0.30379,0.339,8800.270921143092,25959.50124231
1709769600000,2024-03-07 00:00:00,BAT/USD,0.32639,0.34391,0.32236,0.3439,23143.839073239713,67298.16537726
1709683200000,2024-03-06 00:00:00,BAT/USD,0.30119,0.32585,0.2911,0.32463,2786.493481325417,8583.59819279
1709596800000,2024-03-05 00:00:00,BAT/USD,0.32449,0.3338,0.25871,0.30119,17315.33998900085,57489.75725954
1709510400000,2024-03-04 00:00:00,BAT/USD,0.31494,0.34535,0.31139,0.3275,39874.10774639463,121753.00075235
1709424000000,2024-03-03 00:00:00,BAT/USD,0.32122,0.32178,0.28557,0.31486,12747.694696502129,40486.86621515
1709337600000,2024-03-02 00:00:00,BAT/USD,0.29,0.33316,0.29,0.3309,31452.22875595053,95050.5553217
1709251200000,2024-03-01 00:00:00,BAT/USD,0.2774,0.29,0.2774,0.29,61141.69772070089,210833.44041620998
1709164800000,2024-02-29 00:00:00,BAT/USD,0.27428,0.28867,0.27,0.2774,4971.719833285553,17922.56608971
1709078400000,2024-02-28 00:00:00,BAT/USD,0.26826,0.28505,0.25359,0.27647,6927.846898010561,25058.22294647
1708992000000,2024-02-27 00:00:00,BAT/USD,0.27112,0.27169,0.2524,0.26709,8801.528451856604,32953.41814316
1708905600000,2024-02-26 00:00:00,BAT/USD,0.26074,0.27179,0.25604,0.27114,35052.395668635676,129277.84785954
1708819200000,2024-02-25 00:00:00,BAT/USD,0.2579,0.26269,0.25249,0.25999,9399.717758921044,36154.15115551
1708732800000,2024-02-24 00:00:00,BAT/USD,0.24932,0.26,0.24539,0.25708,7150.280027225643,27813.44339204
1708646400000,2024-02-23 00:00:00,BAT/USD,0.25251,0.25488,0.24159,0.24892,15813.926310099312,63530.155512209996
1708560000000,2024-02-22 00:00:00,BAT/USD,0.25096,0.25871,0.24315,0.25184,5472.870202935981,21731.53670162
1708473600000,2024-02-21 00:00:00,BAT/USD,0.2522,0.2524,0.24024,0.25151,4353.587676691697,17309.79951768
1708387200000,2024-02-20 00:00:00,BAT/USD,0.26164,0.26573,0.24158,0.25069,28563.74026079709,113940.48530375
1708300800000,2024-02-19 00:00:00,BAT/USD,0.26052,0.26441,0.25593,0.26012,952.5860842788865,3662.10243072
1708214400000,2024-02-18 00:00:00,BAT/USD,0.25065,0.26851,0.24914,0.26094,2644.315809276003,10133.80780745
1708128000000,2024-02-17 00:00:00,BAT/USD,0.24454,0.25557,0.24009,0.25226,2376.8974503538334,9422.41120413
1708041600000,2024-02-16 00:00:00,BAT/USD,0.24098,0.24924,0.23878,0.24483,577.888615934466,2360.3668502
1707955200000,2024-02-15 00:00:00,BAT/USD,0.23784,0.24325,0.23433,0.23976,530.3086375094136,2211.83115411
1707868800000,2024-02-14 00:00:00,BAT/USD,0.2334,0.23851,0.23029,0.23698,411.7929843127328,1737.6697793600001
1707782400000,2024-02-13 00:00:00,BAT/USD,0.23524,0.24325,0.22774,0.23416,5731.266385920692,24475.85576495
1707696000000,2024-02-12 00:00:00,BAT/USD,0.22768,0.23837,0.22658,0.2361,2684.894973378657,11371.85503337
1707609600000,2024-02-11 00:00:00,BAT/USD,0.22944,0.23438,0.22453,0.22685,808.4924403677875,3563.99576975
1707523200000,2024-02-10 00:00:00,BAT/USD,0.22993,0.2307,0.22319,0.22904,179.8233757334056,785.11777739
1707436800000,2024-02-09 00:00:00,BAT/USD,0.22421,0.22985,0.22414,0.22911,898.7064912961653,3922.59827723
1707350400000,2024-02-08 00:00:00,BAT/USD,0.22192,0.22429,0.21853,0.22372,773.8406232549385,3458.96935122
1707264000000,2024-02-07 00:00:00,BAT/USD,0.21707,0.2211,0.21133,0.2211,311.18608258841397,1407.44496874
1707177600000,2024-02-06 00:00:00,BAT/USD,0.21531,0.21851,0.21338,0.21654,1109.78154034533,5125.0648395
