https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1708041600000,2024-02-16 00:00:00,ETC/USD,26.72,27.4,26.285,26.831,71026.6805573976,2647.1872296
1707955200000,2024-02-15 00:00:00,ETC/USD,26.875,27.474,26.337,26.779,27277.83074367683,1018.62768377
1707868800000,2024-02-14 00:00:00,ETC/USD,26.145,27.144,25.79,26.886,88873.66767959922,3305.57419027
1707782400000,2024-02-13 00:00:00,ETC/USD,26.983,27.285,25.801,26.225,176424.212231024,6727.32935104
1707696000000,2024-02-12 00:00:00,ETC/USD,25.873,27.19,25.499,26.987,871323.9968717649,32286.80464193
1707609600000,2024-02-11 00:00:00,ETC/USD,25.896,26.367,25.58,25.903,759324.080246965,29314.13659603
1707523200000,2024-02-10 00:00:00,ETC/USD,26.245,26.393,25.429,25.893,53014.73000351976,2047.45413832
1707436800000,2024-02-09 00:00:00,ETC/USD,25.716,26.7,25.576,26.187,166007.7121228218,6339.3176814
1707350400000,2024-02-08 00:00:00,ETC/USD,25.216,25.822,25.052,25.637,30206.64811515508,1178.24426084
1707264000000,2024-02-07 00:00:00,ETC/USD,24.736,25.331,24.304,25.173,31576.996453656597,1254.3994142
1707177600000,2024-02-06 00:00:00,ETC/USD,24.259,24.953,24.175,24.737,159092.93514535934,6431.37547582
1707091200000,2024-02-05 00:00:00,ETC/USD,24.988,25.169,24.067,24.306,99983.42458945338,4113.52853573
1707004800000,2024-02-04 00:00:00,ETC/USD,24.85,25.611,24.648,25.028,107774.78999484409,4306.16869086
1706918400000,2024-02-03 00:00:00,ETC/USD,25.198,25.696,24.527,24.85,74647.334046544,3003.91686304
1706832000000,2024-02-02 00:00:00,ETC/USD,24.37,25.395,24.37,25.114,29263.67258805056,1165.23343904
1706745600000,2024-02-01 00:00:00,ETC/USD,24.349,24.907,23.512,24.4,199122.688369188,8160.76591677
1706659200000,2024-01-31 00:00:00,ETC/USD,25.456,25.818,24.131,24.372,46904.65529339016,1924.53041578
1706572800000,2024-01-30 00:00:00,ETC/USD,24.7,26.213,24.528,25.352,123654.74281957056,4877.51431128
1706486400000,2024-01-29 00:00:00,ETC/USD,23.46,24.841,23.06,24.736,91677.66021537983,3706.24434894
1706400000000,2024-01-28 00:00:00,ETC/USD,23.943,24.472,23.365,23.49,138341.7368973855,5889.38854395
1706313600000,2024-01-27 00:00:00,ETC/USD,24.074,24.595,23.834,23.996,60918.36053833152,2538.68813712
